"","Numero","Nom","Prénom","Date.de.naissance","Classe","Note"
"16","LIHGFR0","Diallo","Nourou","02/01/12","6emA","Math[14|15:10] #Francais[12|13:13] #Anglais[15|16:17] #PC[14|13:07] #SVT[15|19:10] #HG[13|12:15]"
"21","40DKG6T","Diallo","awa","21/10/04","6emA","PC[17|20|18:15]#Math[15|16,15|13:17]#Francais[11:13]#Anglais[14:13]#SVT[13|11|15|11:12]#HG[15:13]"
"22","44DSW78","Ndiaye","Sidy","19/01/05","4emB","PC[7|10|9:10]#Math[11|10|12:10]#Francais[14:15]#Anglais[14:14]#SVT[14|12|10:10]#HG[14:14]"
"23","20LH7BG","FAYE","Fallou","19/04/02","4emA","PC[8|13|11:12]#Math[10|10,10|11:10]#Francais[12:13]#Anglais[10:11]#SVT[12|15|10|9:10]#HG[8:10]"
"24","8D805GT","Diop","Seyni","29/09/05","3emA","Math[10|11:15] #Francais[7|12|8:13] #Anglais[13,5|9:15] #PC[11:9]  #SVT[12|9|16|11:12]  #HG[10:13]"
"25","9HBW36T","Ba","Aliou","01/01/06","5emA","Math[15|16:15] #Francais[10|11|10:9] #Anglais[14,12|13:15] #PC[15:15]  #SVT[12|10|17|13:12]  #HG[17:14]"
"26","W8NNJ6T","Ndoye","Ousmane","09/04/04","5emB","Math[20|18:18] #Francais[12|14|14:13] #Anglais[15,16|16:14] #PC[17:18]  #SVT[14|15|15|16:14]  #HG[13:16]"
"27","23YLTXT","Baal","Thierno","22/01/06","3emA","PC[13|11:13]#Math[12|14|15:8]#Francais[11:11]#Anglais[12:14]#SVT[12|12|10:10]#HG[8:10]"
"28","48DKG8T","Baal","Boubou","26/04/03","4emB","PC[17|11|8:11]#Math[12|10|11:15]#Francais[12:16]#Anglais[12:12]#SVT[13|15|11:14]#HG[12:17]"
"29","Q7XVP6G","Seck","Bineta","12/02/05","3emA","PC[14|8:16]#Math[12|16|11:12]#Francais[13:16]#Anglais[10:10]#SVT[13|13|12:8]#HG[10:9]"
"30","M67KQV7","Correa","Albert","26/12/03","6emA","PC[11|10|9:10]#Math[11|10|12:10]#Francais[10:9]#Anglais[12:111]#SVT[10|12|8:12]#HG[11:13]"
"31","H18AC4W","BA","Mouhamed","14/01/05","6emA","Math[10|11:15] #Francais[7|12|8:13] #Anglais[13,5|9:15] #PC[11:9]  #SVT[12|9|16|11:12]  #HG[10:13]"
"32","EPJHQQ5","DIAW","Fallou","12/08/06","3eme B","PC[11:9]#   Math[12|14,5|11:13]   #Francais[14|12:13]  #Anglais[12,8:15]  #SVT[10|9|16|13:12]  #HG[10:16]"
"33","KM729R9","NDIAYE","Marie","19/02/07","3eme A","PC[11:9]#   Math[12|14,5|11:13]   #Francais[4|11:13]  #Anglais[13,8:15]  #SVT[12|9|16|11:12]  #HG[11:13]"
"34","Q7U2XFP","DEME","Abdou","16/01/04","4 eme A","Math[10|14,5|11|13:16] #PC[11:9]  #Francais[4|11:13]  #SVT[12|9|16|11:12] #HG[10:13]  #Anglais[13,5:15]"
"35","0747PMJ","Ndao","Baye Ndiaga","08/08/08","5em B","SVT[13|9|11:14] #HG[10:13]  #Math[12|14,5|11:13]  #Francais[8|11:13] #Anglais[13,5:15]  #PC[13|11:9]"
"36","18G9C4L","DIEYE","Abdoulaye","01/01/02","6emB","PC[11:9]#   Math[12|14,5|11:13]   #Francais[4|11:13]  #Anglais[13,8:15]  #SVT[12|9|16|11:12]  #HG[11:13]"
